Rucola,1.7g,1.2g,1.9g,25
Sanddorn,1.4g,6.7g,5.1g,86
Sauerkirschen,0.8g,0g,9g,39
Sauerkraut,2g,0g,0.8g,11
Schalotten,2g,0g,2g,16
Schwarze Bohnen,25.4g,0.7g,44g,284
Schwarze Johannisbeeren,1.3g,0.2g,6.3g,32
Schwarzwurzel,1.2g,0.3g,1.8g,15
Shiitake Pilze frisch,3.2g,0.2g,19.4g,92
Sojabohne,15.5g,7.1g,10.1g,166
Sojasprossen,5g,1.1g,4.9g,50
Spargel,1.9g,0.2g,2g,17
Spinat,2g,0.8g,2g,23
Spinat mit Rahm,2g,7g,4g,87
Spitzkohl,1.7g,0.3g,2.8g,21
Stachelbeeren,1.4g,0.5g,8g,42
Stangensellerie,1g,0.2g,2g,14
Staudensellerie,1g,0.2g,2g,14
Steckrüben,1g,0.4g,6g,32
Steinpilze,4g,0g,1g,20
Stevia,0g,0g,0g,0
Süßkartoffeln,1.6g,1.2g,26.3g,122
Süßkirschen,1g,0.2g,14g,62
Tamarillo,1.5g,1.2g,10g,57
Tamarinde,2g,0.5g,65g,273
Tomate,1g,0.3g,4g,23
Tomaten. getrocknet,5.9g,5.4g,15.9g,136
Tomaten. passiert,1g,0.1g,4g,21
Tomatenmark,1.6g,0.2g,7g,36
Topinambur,2g,0g,17g,76
Trüffel,8g,0.5g,8g,69
Wassermelone,0.8g,0g,6g,27
Weinsauerkraut,1.5g,0.5g,1.9g,18
Weintrauben,1g,1g,14g,69
Weiße Bohnen roh,5.5g,0.3g,16g,89
Weißkohl,1g,0g,5g,24
Wirsing,2g,0.1g,2g,17
Zitrone,1.4g,0.6g,3g,23
Zucchini,3g,0g,2g,20
Zuckerschoten,4g,1g,9g,61
Zwiebel,1g,0g,6g,28
Cashewmus,20g,40g,31g,564
Cashewnüsse,21g,40.4g,30.7g,570
Chia,21g,31g,5g,383
Chia Brötchen,10g,3g,51g,271
Erdnüsse,22g,49g,7g,557
Erdnussmus,29g,49g,12g,605
Flohsamenschalen,1.6g,0.2g,2g,16
Hanfsamen,33g,44g,12g,576
Haselnüsse,12g,61g,5.8g,620
Haselnussmus,15g,64g,11g,680
Hummus,8g,10g,14g,178
Kichererbsenmehl,20g,6.7g,50g,340
Kokosnuss,4g,28g,8g,300
Kokosraspel,7g,60g,16g,632
Kürbiskerne,32g,55g,4g,639
Leinsamen,22.4g,29g,0g,351
Leinsamenmehl teilentölt,28g,12.5g,6g,249
Macadamia,6g,69g,6g,669
Mandeln,18g,55g,5g,587
Mandelmus,23g,57g,5g,625
Maronen,2g,1g,45g,197
Mohn,19g,39.4g,3g,443
Paranüsse,13g,66g,4.2g,663
Pekanüsse,8g,74g,5g,718
Pinienkerne,23g,49g,6g,557
Pistazien,15g,55g,10g,595
Sesam,15g,49g,9g,537
Sonnenblumenkerne,19g,47g,11.4g,545
Walnüsse,10.3g,64g,12.4g,667
Amaranth,14.3g,9g,55g,358
Apfelkuchen,2g,9.8g,36g,240
Backpulver,0g,0g,27g,108
Baguette,7g,3g,58.4g,289
Baiser,4g,0g,96g,400
Basmati Reis roh,8.7g,0.8g,78.2g,355
Berliner,6g,15.7g,42g,333
Blätterteig,6.8g,36g,49g,547
Brandteig,10g,18g,25g,302
Brezel,8.1g,2.2g,52g,263
Brötchen Weizen,8.7g,3g,57g,290
Buchweizen,9g,1.8g,70.9g,336
Buchweizenmehl,10g,2g,71g,342
Bulgur,8.4g,1g,69.4g,320
Butterbrezel,6g,15g,41g,324
Chia Brot,12.4g,23.1g,12g,306
Ciabatta Brot,8g,3.5g,68.3g,337
Cornflakes. natur,6.5g,0.8g,78g,345
Couscous gekocht,4g,0g,25g,116
Couscous roh,12g,2g,66g,330
Croissant,6.1g,27g,41g,431
Dinkelbrot,6g,1g,40g,193
Dinkelbrötchen,9.8g,3.4g,34g,206
Dinkelkleie,15.5g,4.9g,17.7g,177
Dinkelmehl. Vollkorn,12.4g,3g,66g,341
Dinkelvollkornbrot,6.8g,1.9g,41.5g,210
Eierkuchen,5.5g,7g,32g,213
Eierpfannkuchen,6g,11g,18g,195
Eierschecke,6g,6.7g,25g,184
Eiweißbrot,20g,10.6g,13.5g,229
Eiweißbrötchen,27.6g,13.4g,5.4g,253
Eiweißpulver,80g,2g,5g,358
Fladenbrot,4.7g,0.8g,45g,206
Franzbrötchen,4.9g,21.9g,30g,337
Früchtemüsli,3g,5g,66g,321
Gelatine,1.2g,0g,14g,61
Germknödel,3.9g,3.4g,53g,258
Gerstenmehl. Vollkorn,8.4g,1.9g,68g,323
Glasnudeln roh,0.2g,0.1g,86g,346
Gluten. Weizenkleber,80g,1.4g,5.1g,353
Graubrot,8g,2g,46g,234
Graupen,9.7g,1.4g,71g,335
Grissinis,6g,9.4g,30g,229
Guarkernmehl,5g,0g,0g,20
Haferflocken,10.3g,6.5g,55g,320
Haferkleie,15.4g,7.8g,45.2g,313
Hanfmehl,30g,8g,1.2g,197
Hefeflocken,49g,6g,9g,286
Hefeteig,6g,1g,42g,201
Hefezopf,8.4g,6.6g,43g,265
Hirse,10g,3g,67.3g,336
Hirseflocken,11.8g,2.8g,73.3g,366
Jasminreis roh,8g,0.4g,80.1g,356
Johannisbrotkernmehl,6g,1g,1g,37
Kakao. stark entölt,23g,15g,10g,267
Kakaofasern,17.3g,7.8g,2.5g,149
Kamut,13g,2.2g,68.2g,345
Kartoffelbrot,13g,3.1g,41g,244
Kartoffelfasern,9g,0.1g,8g,69
Kartoffelstärke,0.5g,0.1g,79.4g,321
Käsekuchen,6g,21g,28g,325
Kekse,7.9g,12g,45g,320
Knuspermüsli,10g,15g,63g,427
Kokosmehl,17g,16.5g,17g,285
Konjacnudeln gekocht,0g,0g,0g,0
Konjakmehl,2g,0g,0g,8
Körnerbrötchen,8g,7g,46g,279
Kornspitz,10g,1.6g,36g,198
Kürbiskernbrötchen,7g,8g,42.9g,272
Kürbiskernmehl,55g,13g,5g,357
Langkornreis roh,7.2g,0.6g,60.8g,277
Lasagne,7g,8.5g,18g,177
Laugenstange,8.1g,5g,58g,309
Lebkuchen,4.2g,14g,60g,383
Leinsamenbrot,6.9g,3.8g,36.7g,209
Linzertorte,7g,17g,55g,401
Maismehl,6g,2g,68g,314
Maisstärke,0.4g,0g,88g,354
Makronen,3.8g,11g,72g,402
Mandelmehl,48g,10g,6g,306
Marmorkuchen,4.8g,25.9g,48g,444
Mehrkornbrot,6.5g,2g,44g,220
Mehrkornbrötchen,8.2g,5.9g,43.7g,261
Mie Nudeln,11g,1g,72g,341
Milchbrötchen,0.4g,4.8g,45g,225
Mischbrot,6.5g,1g,47g,223
Mohnbrötchen,10g,4g,49g,272
Mürbeteig,5.7g,25.9g,45g,436
Müsli,8g,11g,56g,355
Natron,0g,0g,0g,0
Nudeln gekocht,4g,1g,28.7g,140
Nudeln. Eierteigware roh,12g,3.7g,72g,369
Nudeln. Hartweizengrieß roh,11g,1.4g,69g,333
Nudeln. Vollkorn roh,13g,2.8g,60g,317
Paniermehl,5g,1.9g,52g,245
Panko,11g,5.2g,65g,351
Pita,7g,1g,47g,225
Pizzateig,5.8g,1.2g,41g,198
Polenta,8.4g,1g,71g,327
Porridge,2.5g,1.4g,12g,71
Puddingpulver Vanille,0.4g,0.2g,85g,343
Pumpernickel,6g,0.4g,30g,148
Quinoa,14.7g,4g,62g,343
Reis gekocht parboiled,3.5g,0.4g,38g,170
Reis roh parboiled,3g,0.1g,74g,309
Reismehl,6.5g,1g,79.1g,351
Reisnudeln roh,0.9g,0.2g,25g,105
Reiswaffel,7g,2g,85g,386
Roggenbrot,6g,1g,46g,217
Roggenbrötchen,12.2g,4.1g,55.2g,307
Roggenknäckebrot,8.4g,0.4g,66g,301
Roggenmehl,7g,1.3g,68g,312
Roggenmischbrot,6.3g,1.4g,48g,230
Roggenvollkornbrot,6g,1g,36g,177
Roggenvollkornmehl,10.2g,2g,65g,319
Rosinenbrötchen,7g,1g,49g,233
Rührkuchenteig,6.4g,17.9g,57g,415
Rumkugel,1.4g,10.4g,68.8g,374
Sahnetorte,4g,18.5g,24g,279
Salzstangen,10.7g,5g,70g,368
Sandkuchen,6g,28g,42g,444
Schokomüsli,10g,12g,62g,396
Schupfnudeln,3g,1.4g,31.2g,149
Schwarzbrot,10g,2.4g,39.2g,218
Semmelknödel,12g,5.4g,45.6g,279
Sesammehl,29g,14g,17g,310
Sojaflocken,37g,20g,3g,340
Sojamehl,50g,3g,22.4g,317
Sonnenblumenbrot,6g,5.1g,32.5g,200
Spaghetti gekocht,6g,1g,30g,153
Spaghetti roh,7g,1g,33g,169
Spätzle,3.8g,1.8g,25.6g,134
Stollen,4g,25g,44g,417
Süßlupinenmehl,43g,12g,10g,320
Toastbrot,7g,1.6g,49.4g,240
Tortellini,14g,7.2g,45g,301
Tortenguss,0.2g,0.2g,77g,311
Tortilla,7g,1g,46g,221
Trockenhefe,35g,1g,31g,273
Vollkornbrot,7g,2.4g,36g,194
Vollkornbrötchen,7g,3g,44g,231
Vollkornhaferflocken,13.8g,6.8g,55g,336
Vollkornknäckebrot,9g,1.6g,65g,310
Vollkornreis roh,3g,2g,72g,318
Vollkorntoastbrot,7g,3.4g,36g,203
Walnussmehl entölt,30g,30g,15g,450
Weißbrot,5g,1.9g,52g,245
Weizengrieß,9g,1g,66g,309
Weizenkleie,18.3g,4g,12g,157
Weizenknäckebrot,11g,1.7g,74g,355
Weizenmehl 405,10.8g,1g,70.9g,336
Weizenstärke,0.8g,1g,88g,364
